date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:01:52	1834/1834	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22644fe798-72a%22	http://orgolife2.local/wp-content/plugins/woocommerce/assets/js/js-cookie/js.cookie.min.js?ver=2.1.4-wc.7.6.1	C:/My%20Web%20Sites/picual/orgolife2.local/wp-content/plugins/woocommerce/assets/js/js-cookie/js.cookie.min44bd.js	(from http://orgolife2.local/picual/)
08:01:53	138543/138543	---M--	200	added ('OK')	image/jpeg	etag:%2263e9feec-21d2f%22	http://orgolife2.local/wp-content/uploads/2023/01/healthy-herbal-drinks-chamomile-blossoms-natural-healer-concept_210733-2159-1-1024x683.jpg	C:/My%20Web%20Sites/picual/orgolife2.local/wp-content/uploads/2023/01/healthy-herbal-drinks-chamomile-blossoms-natural-healer-concept_210733-2159-1-1024x683.jpg	(from http://orgolife2.local/picual/)
08:01:53	2139/2139	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22644fe798-85b%22	http://orgolife2.local/wp-content/plugins/woocommerce/assets/js/frontend/woocommerce.min.js?ver=7.6.1	C:/My%20Web%20Sites/picual/orgolife2.local/wp-content/plugins/woocommerce/assets/js/frontend/woocommerce.min56be.js	(from http://orgolife2.local/picual/)
08:01:55	186479/186479	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2004%20May%202023%2005:01:53%20GMT	http://orgolife2.local/?post_type=product&p=733	C:/My%20Web%20Sites/picual/orgolife2.local/indexc448.html	(from http://orgolife2.local/picual/)
08:01:56	200121/200121	---MCZ	200	added ('OK')	text/html	date:Thu,%2004%20May%202023%2005:01:53%20GMT	http://orgolife2.local/about/	C:/My%20Web%20Sites/picual/orgolife2.local/about/index.html	(from http://orgolife2.local/picual/)
08:01:58	192428/192428	---MCZ	200	added ('OK')	text/html	date:Thu,%2004%20May%202023%2005:01:55%20GMT	http://orgolife2.local/category/olive/	C:/My%20Web%20Sites/picual/orgolife2.local/category/olive/index.html	(from http://orgolife2.local/picual/)
08:01:58	2938/2938	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22644fe798-b7a%22	http://orgolife2.local/wp-content/plugins/woocommerce/assets/js/frontend/cart-fragments.min.js?ver=7.6.1	C:/My%20Web%20Sites/picual/orgolife2.local/wp-content/plugins/woocommerce/assets/js/frontend/cart-fragments.min56be.js	(from http://orgolife2.local/picual/)
08:01:58	200980/200980	---MCZ	200	added ('OK')	text/html	date:Thu,%2004%20May%202023%2005:01:55%20GMT	http://orgolife2.local/store/	C:/My%20Web%20Sites/picual/orgolife2.local/store/index.html	(from http://orgolife2.local/picual/)
08:02:00	198742/198742	---MCZ	200	added ('OK')	text/html	date:Thu,%2004%20May%202023%2005:01:58%20GMT	http://orgolife2.local/contact/	C:/My%20Web%20Sites/picual/orgolife2.local/contact/index.html	(from http://orgolife2.local/picual/)
08:02:00	6607/6607	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2263e274b5-19cf%22	http://orgolife2.local/wp-includes/js/dist/vendor/regenerator-runtime.min.js?ver=0.13.11	C:/My%20Web%20Sites/picual/orgolife2.local/wp-includes/js/dist/vendor/regenerator-runtime.min8fa4.js	(from http://orgolife2.local/picual/)
08:02:00	17823/17823	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%226329dfa1-459f%22	http://orgolife2.local/wp-includes/js/dist/vendor/wp-polyfill.min.js?ver=3.15.0	C:/My%20Web%20Sites/picual/orgolife2.local/wp-includes/js/dist/vendor/wp-polyfill.min2c7c.js	(from http://orgolife2.local/picual/)
08:02:00	4910/4910	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%226254194e-132e%22	http://orgolife2.local/wp-includes/js/dist/hooks.min.js?ver=4169d3cf8e8d95a3d6d5	C:/My%20Web%20Sites/picual/orgolife2.local/wp-includes/js/dist/hooks.min6c65.js	(from http://orgolife2.local/picual/)
08:02:00	10230/10230	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22632e0f32-27f6%22	http://orgolife2.local/wp-includes/js/dist/i18n.min.js?ver=9e794f35a71bb98672ae	C:/My%20Web%20Sites/picual/orgolife2.local/wp-includes/js/dist/i18n.mine57b.js	(from http://orgolife2.local/picual/)
08:02:01	3465/3465	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%226451e30d-d89%22	http://orgolife2.local/wp-content/plugins/woocommerce-google-analytics-integration/assets/js/build/actions.js?ver=2e50f7862892acedba0f	C:/My%20Web%20Sites/picual/orgolife2.local/wp-content/plugins/woocommerce-google-analytics-integration/assets/js/build/actions7fc8.js	(from http://orgolife2.local/picual/)
08:02:01	344/344	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2263e9fee8-158%22	http://orgolife2.local/wp-content/plugins/woocommerce-multilingual/res/js/front-scripts.min.js?ver=5.1.2	C:/My%20Web%20Sites/picual/orgolife2.local/wp-content/plugins/woocommerce-multilingual/res/js/front-scripts.minfee8.js	(from http://orgolife2.local/picual/)
08:02:01	364/364	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2263e9fee8-16c%22	http://orgolife2.local/wp-content/plugins/woocommerce-multilingual/res/js/cart_widget.min.js?ver=5.1.2	C:/My%20Web%20Sites/picual/orgolife2.local/wp-content/plugins/woocommerce-multilingual/res/js/cart_widget.minfee8.js	(from http://orgolife2.local/picual/)
08:02:01	9055/9055	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22643e6041-235f%22	http://orgolife2.local/wp-content/plugins/essential-addons-for-elementor-lite/assets/front-end/js/view/general.min.js?ver=5.7.1	C:/My%20Web%20Sites/picual/orgolife2.local/wp-content/plugins/essential-addons-for-elementor-lite/assets/front-end/js/view/general.mina78f.js	(from http://orgolife2.local/picual/)
08:02:02	8970/8970	---MCZ	200	added ('OK')	application/javascript	etag:W/%226197c5cf-3508%22	https://stats.wp.com/e-202318.js	C:/My%20Web%20Sites/picual/stats.wp.com/e-202318.js	(from http://orgolife2.local/picual/)
08:02:04	252588/252588	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2264460004-3daac%22	http://orgolife2.local/wp-content/plugins/elementor-pro/assets/lib/lottie/lottie.min.js?ver=5.6.6	C:/My%20Web%20Sites/picual/orgolife2.local/wp-content/plugins/elementor-pro/assets/lib/lottie/lottie.min3f90.js	(from http://orgolife2.local/picual/)
08:02:04	2026/2026	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%226451e2cc-7ea%22	http://orgolife2.local/wp-content/plugins/google-listings-and-ads/js/build/gtag-events.js?ver=d5b77d1e18767c9acbb6	C:/My%20Web%20Sites/picual/orgolife2.local/wp-content/plugins/google-listings-and-ads/js/build/gtag-events8d79.js	(from http://orgolife2.local/picual/)
08:02:04	5485/5485	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2264460004-156d%22	http://orgolife2.local/wp-content/plugins/elementor-pro/assets/js/webpack-pro.runtime.min.js?ver=3.12.3	C:/My%20Web%20Sites/picual/orgolife2.local/wp-content/plugins/elementor-pro/assets/js/webpack-pro.runtime.min0fca.js	(from http://orgolife2.local/picual/)
